Date,Sales Value,Type of Sales
2015-12-01,338258.03,Historical
2012-03-01,218826.9,Historical
2012-04-01,211118.72,Historical
2012-05-01,244443.51,Historical
2012-06-01,243225.78,Historical
2012-07-01,238487.15,Historical
2012-08-01,213676.71,Historical
2012-09-01,180518.99,Historical
2012-10-01,179138.83,Historical
2012-11-01,184324.3,Historical
2012-12-01,183413.14,Historical
2013-01-01,171270.54,Historical
2013-02-01,170129.5,Historical
2013-03-01,190796.78,Historical
2013-04-01,180902.04,Historical
2013-05-01,188659.89,Historical
2013-06-01,202345.69,Historical
2013-07-01,224250,Historical
2013-08-01,182967.11,Historical
2013-09-01,174740.48,Historical
2013-10-01,154397.96,Historical
2013-11-01,155503.4,Historical
2013-12-01,174200.46,Historical
2014-01-01,170858.12,Historical
2014-02-01,157254.25,Historical
2014-03-01,177000.48,Historical
2014-04-01,167685.54,Historical
2014-05-01,195149.08,Historical
2014-06-01,191896.9,Historical
2014-07-01,188828.3,Historical
2014-08-01,171839.31,Historical
2014-09-01,138731.56,Historical
2014-10-01,147098.87,Historical
2014-11-01,147824.12,Historical
2014-12-01,154185.72,Historical
2015-01-01,158191.76,Historical
2015-02-01,155970.47,Historical
2015-03-01,192483.1,Historical
2015-04-01,177306.35,Historical
2015-05-01,204242.52,Historical
2015-06-01,215197.87,Historical
2015-07-01,193918.11,Historical
2015-08-01,165468.76,Historical
2015-09-01,145688.16,Historical
2015-10-01,144420.48,Historical
2015-11-01,160273.12,Historical
2015-12-01,152838.68,Historical
2012-03-01,366297.44,Historical
2012-04-01,374207.47,Historical
2012-05-01,445198.34,Historical
2012-06-01,426343.09,Historical
2012-07-01,422168.81,Historical
2012-08-01,415870.44,Historical
2012-09-01,351958.33,Historical
2012-10-01,317680.2,Historical
2012-11-01,321201.05,Historical
2012-12-01,293182.24,Historical
2013-01-01,293682.16,Historical
2013-02-01,288153.76,Historical
2013-03-01,327291.48,Historical
2013-04-01,335048.06,Historical
2013-05-01,346760.28,Historical
2013-06-01,371771.85,Historical
2013-07-01,410985.33,Historical
2013-08-01,361946.02,Historical
2013-09-01,342155.07,Historical
2013-10-01,299224.71,Historical
2013-11-01,313454.39,Historical
2013-12-01,293834.71,Historical
2014-01-01,323449.46,Historical
2014-02-01,305705.41,Historical
2014-03-01,350615.05,Historical
2014-04-01,358364.75,Historical
2014-05-01,394692.85,Historical
2014-06-01,403672.43,Historical
2014-07-01,371523.68,Historical
2014-08-01,354936.94,Historical
2014-09-01,308301.9,Historical
2014-10-01,304191.15,Historical
2014-11-01,298415.9,Historical
2014-12-01,266668.49,Historical
2015-01-01,289570.47,Historical
2015-02-01,273903.38,Historical
2015-03-01,359812.37,Historical
2015-04-01,340039.72,Historical
2015-05-01,411875.93,Historical
2015-06-01,448017.23,Historical
2015-07-01,432835.89,Historical
2015-08-01,374709.61,Historical
2015-09-01,347492.33,Historical
2015-10-01,315919.89,Historical
2015-11-01,330049.97,Historical
2015-12-01,291627.46,Historical
2012-03-01,290779.17,Historical
2012-04-01,280702.48,Historical
2012-05-01,328596.81,Historical
2012-06-01,321312.59,Historical
2012-07-01,313562.36,Historical
2012-08-01,273805.62,Historical
2012-09-01,239174.09,Historical
2012-10-01,238466.13,Historical
2012-11-01,236110.18,Historical
2012-12-01,237737.33,Historical
2013-01-01,216344.7,Historical
2013-02-01,215213.73,Historical
2013-03-01,251904.98,Historical
2013-04-01,237125.23,Historical
2013-05-01,253108.05,Historical
2013-06-01,264080.28,Historical
2013-07-01,288499.12,Historical
2013-08-01,237369.36,Historical
2013-09-01,223584.87,Historical
2013-10-01,203442.08,Historical
2013-11-01,208562.39,Historical
2013-12-01,222893.49,Historical
2014-01-01,206161.56,Historical
2014-02-01,197664.87,Historical
2014-03-01,226334.41,Historical
2014-04-01,211088.46,Historical
2014-05-01,238983.57,Historical
2014-06-01,232867.37,Historical
2014-07-01,227063.76,Historical
2014-08-01,197352.05,Historical
2014-09-01,168854.2,Historical
2014-10-01,180602.92,Historical
2014-11-01,180000.3,Historical
2014-12-01,186043.11,Historical
2015-01-01,204680.04,Historical
2015-02-01,205393.92,Historical
2015-03-01,250305.35,Historical
2015-04-01,207889.18,Historical
2015-05-01,247926.78,Historical
2015-06-01,266376.78,Historical
2015-07-01,257469.72,Historical
2015-08-01,211326.62,Historical
2015-09-01,189436.63,Historical
2015-10-01,198069.02,Historical
2015-11-01,207365.62,Historical
2015-12-01,200668.33,Historical
2012-03-01,300543.28,Historical
2012-04-01,300708.74,Historical
2012-05-01,349209.11,Historical
2012-06-01,366117.6,Historical
2012-07-01,340045.1,Historical
2012-08-01,280246.47,Historical
2012-09-01,244364.51,Historical
2012-10-01,235828.82,Historical
2012-11-01,214928.95,Historical
2012-12-01,173776.29,Historical
2013-01-01,157438.29,Historical
2013-02-01,153625.85,Historical
2013-03-01,186425.89,Historical
2013-04-01,184841.23,Historical
2013-05-01,195654.33,Historical
2013-06-01,210624.45,Historical
2013-07-01,221801.91,Historical
2013-08-01,182442.13,Historical
2013-09-01,161692.09,Historical
2013-10-01,138942.8,Historical
2013-11-01,145863.6,Historical
2013-12-01,156973.23,Historical
2014-01-01,151602.61,Historical
2014-02-01,143516.45,Historical
2014-03-01,150644,Historical
2014-04-01,146246.04,Historical
2014-05-01,173971.17,Historical
2014-06-01,163953.73,Historical
2014-07-01,156983.17,Historical
2014-08-01,138103.83,Historical
2014-09-01,109477.2,Historical
2014-10-01,120204.94,Historical
2014-11-01,117379.25,Historical
2014-12-01,115412.21,Historical
2015-01-01,130784.22,Historical
2015-02-01,133537.71,Historical
2015-03-01,170669.67,Historical
2015-04-01,146991.28,Historical
2015-05-01,187961.66,Historical
2015-06-01,194489.12,Historical
2015-07-01,181152.19,Historical
2015-08-01,158312.75,Historical
2015-09-01,137082.83,Historical
2015-10-01,140204.66,Historical
